project_id,sector,implementing_agency,sanctioned_cost_cr,sanctioned_duration_months,start_date,elapsed_time_pct,fund_utilization_pct,physical_progress_pct,cost_overrun_pct,delay_months,risk_label,project_name
PRJ0190,Urban Infrastructure,NTPC,72.81,36,2023-09-07,52.3,43.2,45.1,15.8,3.3,Medium,NTPC Urban Infrastructure Phase 0190
PRJ0191,Irrigation,CPWD,6.78,60,2020-04-11,77.3,73.3,72.9,18.1,9.6,Medium,CPWD Irrigation Phase 0191
PRJ0192,Railways,State PWD,30.39,36,2022-02-10,35.5,34.1,34.7,17.4,3.3,Medium,State PWD Railways Phase 0192
PRJ0193,Urban Infrastructure,NHAI,48.9,18,2020-03-20,129.7,90.8,72.2,24.3,9.1,High,NHAI Urban Infrastructure Phase 0193
PRJ0194,Irrigation,CPWD,306.41,12,2021-05-27,33.7,21.1,21.4,25.7,0.8,Medium,CPWD Irrigation Phase 0194
PRJ0195,Roads & Highways,NTPC,122.8,12,2022-04-09,136.0,112.1,115.2,14.2,2.5,Medium,NTPC Roads & Highways Phase 0195
PRJ0196,Roads & Highways,State PWD,28.09,60,2020-04-06,102.0,69.3,62.2,20.8,22.4,Medium,State PWD Roads & Highways Phase 0196
PRJ0197,Urban Infrastructure,NHAI,27.99,12,2022-05-15,90.0,89.3,69.6,23.8,4.3,Medium,NHAI Urban Infrastructure Phase 0197
PRJ0198,Roads & Highways,NHAI,4.43,36,2020-02-12,123.2,95.0,71.2,15.5,18.0,High,NHAI Roads & Highways Phase 0198
PRJ0199,Railways,Indian Railways,47.68,36,2020-06-07,116.6,75.2,62.0,38.2,17.1,High,Indian Railways Railways Phase 0199
PRJ0200,Irrigation,Municipal Corporation,52.45,24,2022-09-27,113.0,68.6,51.0,27.7,15.3,High,Municipal Corporation Irrigation Phase 0200
PRJ0201,Power,State PWD,77.42,36,2019-02-18,37.2,29.2,29.7,18.2,5.7,Medium,State PWD Power Phase 0201
PRJ0202,Urban Infrastructure,NHAI,1830.64,24,2019-06-18,78.5,53.3,40.8,33.2,7.8,High,NHAI Urban Infrastructure Phase 0202
PRJ0203,Roads & Highways,Municipal Corporation,19.34,36,2019-12-19,128.7,104.0,89.1,12.7,11.6,Medium,Municipal Corporation Roads & Highways Phase 0203
PRJ0204,Power,State PWD,68.99,60,2020-05-13,138.2,90.7,69.9,28.7,39.7,High,State PWD Power Phase 0204
PRJ0205,Urban Infrastructure,CPWD,24.3,48,2022-12-17,85.6,84.4,71.5,15.0,7.2,Medium,CPWD Urban Infrastructure Phase 0205
PRJ0206,Railways,NTPC,87.46,18,2019-01-23,91.6,74.3,70.7,20.9,6.2,Medium,NTPC Railways Phase 0206
PRJ0207,Irrigation,NHAI,65.71,36,2020-07-19,81.8,76.0,65.4,28.0,8.6,Medium,NHAI Irrigation Phase 0207
PRJ0208,Power,Municipal Corporation,4.65,18,2019-11-09,108.3,100.8,74.1,20.8,6.2,Medium,Municipal Corporation Power Phase 0208
PRJ0209,Roads & Highways,NTPC,322.76,36,2022-01-22,68.8,64.4,55.7,16.1,5.8,Medium,NTPC Roads & Highways Phase 0209
PRJ0210,Urban Infrastructure,State PWD,63.38,36,2020-08-08,105.5,66.2,50.4,23.0,19.2,High,State PWD Urban Infrastructure Phase 0210
PRJ0211,Power,Municipal Corporation,37.73,24,2019-05-04,113.9,87.0,84.0,25.4,8.0,Medium,Municipal Corporation Power Phase 0211
PRJ0212,Roads & Highways,NTPC,75.96,12,2023-06-06,101.6,96.5,67.5,16.1,2.2,Medium,NTPC Roads & Highways Phase 0212
PRJ0213,Urban Infrastructure,State PWD,5.0,60,2019-07-19,76.5,47.2,45.2,22.1,18.9,Medium,State PWD Urban Infrastructure Phase 0213
PRJ0214,Roads & Highways,NTPC,86.82,60,2023-01-26,106.9,100.1,104.4,15.4,7.6,Medium,NTPC Roads & Highways Phase 0214
PRJ0215,Urban Infrastructure,NHAI,112.77,12,2022-06-20,89.5,57.1,44.8,21.5,5.1,High,NHAI Urban Infrastructure Phase 0215
PRJ0216,Roads & Highways,CPWD,39.11,24,2020-06-19,63.0,56.5,40.5,19.2,8.2,Medium,CPWD Roads & Highways Phase 0216
PRJ0217,Roads & Highways,State PWD,31.33,24,2020-04-26,116.8,96.9,90.1,19.3,5.3,Medium,State PWD Roads & Highways Phase 0217
PRJ0218,Urban Infrastructure,NHAI,24.85,36,2021-08-03,33.6,31.8,23.0,10.6,5.9,Medium,NHAI Urban Infrastructure Phase 0218
PRJ0219,Urban Infrastructure,CPWD,95.81,48,2021-03-09,96.8,82.5,74.8,24.3,10.3,Medium,CPWD Urban Infrastructure Phase 0219
PRJ0220,Urban Infrastructure,Municipal Corporation,129.17,18,2022-11-17,136.8,96.4,76.7,29.4,9.9,High,Municipal Corporation Urban Infrastructure Phase 0220
PRJ0221,Roads & Highways,Indian Railways,33.66,12,2019-09-10,60.4,59.8,48.8,0.6,0.0,Low,Indian Railways Roads & Highways Phase 0221
PRJ0222,Power,State PWD,49.83,24,2021-11-29,89.1,83.9,60.2,24.7,8.5,High,State PWD Power Phase 0222
PRJ0223,Roads & Highways,Indian Railways,3.96,18,2020-12-15,34.9,24.8,24.5,3.5,3.8,Medium,Indian Railways Roads & Highways Phase 0223
PRJ0224,Irrigation,NTPC,29.0,48,2021-10-31,33.3,28.9,20.7,23.5,10.1,Medium,NTPC Irrigation Phase 0224
PRJ0225,Irrigation,NHAI,278.28,48,2022-04-22,58.4,50.8,40.8,22.4,13.2,Medium,NHAI Irrigation Phase 0225
PRJ0226,Irrigation,NHAI,86.63,36,2022-05-20,42.6,32.1,27.6,17.0,7.9,Medium,NHAI Irrigation Phase 0226
PRJ0227,Urban Infrastructure,Municipal Corporation,43.57,18,2022-09-11,75.4,64.7,59.9,19.0,3.8,Medium,Municipal Corporation Urban Infrastructure Phase 0227
PRJ0228,Railways,NTPC,149.15,60,2022-01-07,126.1,112.2,83.3,26.0,28.3,High,NTPC Railways Phase 0228
PRJ0229,Roads & Highways,NHAI,8.44,24,2021-11-04,34.8,22.6,20.2,8.6,6.0,Medium,NHAI Roads & Highways Phase 0229
PRJ0230,Roads & Highways,CPWD,21.06,48,2022-05-31,77.3,67.2,53.5,19.4,10.8,Medium,CPWD Roads & Highways Phase 0230
PRJ0231,Urban Infrastructure,Municipal Corporation,97.6,48,2023-07-08,77.4,56.3,50.9,21.0,15.5,Medium,Municipal Corporation Urban Infrastructure Phase 0231
PRJ0232,Urban Infrastructure,Municipal Corporation,8.77,36,2020-11-05,48.4,37.3,28.0,13.7,9.6,Medium,Municipal Corporation Urban Infrastructure Phase 0232
PRJ0233,Urban Infrastructure,NTPC,57.66,36,2020-09-05,37.9,28.9,23.4,14.0,8.1,Medium,NTPC Urban Infrastructure Phase 0233
PRJ0234,Railways,Municipal Corporation,322.83,24,2021-10-04,41.6,27.7,28.8,22.1,5.6,Medium,Municipal Corporation Railways Phase 0234
PRJ0235,Railways,NTPC,7.81,18,2019-09-22,83.7,54.6,54.1,18.3,4.4,Medium,NTPC Railways Phase 0235
PRJ0236,Power,CPWD,11.04,36,2023-01-28,138.2,98.9,102.5,16.5,11.8,Medium,CPWD Power Phase 0236
PRJ0237,Urban Infrastructure,State PWD,66.8,24,2022-10-03,121.7,94.5,76.1,16.8,9.3,Medium,State PWD Urban Infrastructure Phase 0237
PRJ0238,Roads & Highways,State PWD,27.58,18,2020-05-01,136.3,112.2,92.2,14.2,7.7,Medium,State PWD Roads & Highways Phase 0238
PRJ0239,Power,State PWD,43.56,24,2023-11-24,126.8,107.7,96.9,35.0,6.4,High,State PWD Power Phase 0239
PRJ0240,Irrigation,Municipal Corporation,94.29,48,2022-07-03,129.8,84.7,76.9,22.7,27.4,High,Municipal Corporation Irrigation Phase 0240
PRJ0241,Urban Infrastructure,CPWD,76.62,12,2022-11-30,60.3,57.4,59.1,9.9,0.8,Low,CPWD Urban Infrastructure Phase 0241
PRJ0242,Urban Infrastructure,Municipal Corporation,15.03,36,2021-06-04,63.3,50.4,44.5,5.9,10.8,Medium,Municipal Corporation Urban Infrastructure Phase 0242
PRJ0243,Power,NTPC,42.78,36,2023-05-30,80.2,62.3,56.8,25.1,12.4,Medium,NTPC Power Phase 0243
PRJ0244,Power,NHAI,83.1,12,2019-01-06,100.4,72.2,56.6,22.1,4.2,Medium,NHAI Power Phase 0244
PRJ0245,Irrigation,State PWD,144.6,60,2019-02-24,125.9,102.1,94.1,30.8,23.6,High,State PWD Irrigation Phase 0245
PRJ0246,Roads & Highways,NTPC,93.59,18,2023-09-20,31.0,30.9,29.0,7.7,2.6,Low,NTPC Roads & Highways Phase 0246
PRJ0247,Power,NHAI,206.48,12,2019-01-11,133.1,123.6,120.0,15.2,3.0,Medium,NHAI Power Phase 0247
PRJ0248,Roads & Highways,Indian Railways,114.22,12,2021-01-03,74.8,46.8,38.5,19.9,4.0,Medium,Indian Railways Roads & Highways Phase 0248
PRJ0249,Irrigation,Indian Railways,83.9,12,2023-02-24,56.6,44.8,33.7,27.4,5.0,High,Indian Railways Irrigation Phase 0249
PRJ0250,Urban Infrastructure,Indian Railways,212.57,18,2022-12-17,132.2,100.8,102.5,20.4,2.5,Medium,Indian Railways Urban Infrastructure Phase 0250
PRJ0251,Roads & Highways,NHAI,59.55,36,2020-10-06,101.3,65.7,66.5,18.0,7.5,Medium,NHAI Roads & Highways Phase 0251
PRJ0252,Railways,Municipal Corporation,66.84,36,2019-05-10,105.1,73.2,69.6,30.6,15.5,High,Municipal Corporation Railways Phase 0252
PRJ0253,Urban Infrastructure,State PWD,70.03,24,2019-10-13,127.0,118.1,112.5,17.2,3.5,Medium,State PWD Urban Infrastructure Phase 0253
PRJ0254,Roads & Highways,NHAI,10.05,24,2019-03-26,60.4,53.3,38.5,17.8,4.2,Medium,NHAI Roads & Highways Phase 0254
PRJ0255,Irrigation,Municipal Corporation,40.44,18,2023-02-25,64.5,59.0,59.7,14.1,4.0,Medium,Municipal Corporation Irrigation Phase 0255
PRJ0256,Urban Infrastructure,NTPC,46.94,12,2022-05-21,84.3,63.7,58.7,20.0,2.1,Medium,NTPC Urban Infrastructure Phase 0256
PRJ0257,Irrigation,State PWD,60.19,18,2019-07-09,116.0,99.5,71.3,29.4,9.1,High,State PWD Irrigation Phase 0257
PRJ0258,Urban Infrastructure,NHAI,47.59,24,2019-07-19,99.8,90.6,63.5,18.6,9.1,Medium,NHAI Urban Infrastructure Phase 0258
PRJ0259,Irrigation,State PWD,324.98,24,2023-04-15,110.4,94.8,92.8,23.8,7.1,Medium,State PWD Irrigation Phase 0259
PRJ0260,Urban Infrastructure,Indian Railways,45.57,36,2023-10-21,35.7,31.2,27.0,9.1,5.3,Low,Indian Railways Urban Infrastructure Phase 0260
PRJ0261,Power,NTPC,164.4,36,2021-09-05,41.0,35.9,28.1,24.1,7.7,Medium,NTPC Power Phase 0261
PRJ0262,Power,NHAI,59.77,36,2020-08-17,129.7,91.6,87.4,33.8,15.1,High,NHAI Power Phase 0262
PRJ0263,Urban Infrastructure,NHAI,88.44,12,2019-01-31,114.7,105.9,78.6,20.9,5.8,High,NHAI Urban Infrastructure Phase 0263
PRJ0264,Railways,Municipal Corporation,24.13,36,2021-10-24,92.5,80.0,71.4,25.5,11.8,Medium,Municipal Corporation Railways Phase 0264
PRJ0265,Power,NHAI,9.9,18,2019-10-02,128.9,114.0,117.2,22.1,2.7,Medium,NHAI Power Phase 0265
PRJ0266,Urban Infrastructure,Municipal Corporation,771.33,12,2023-09-21,133.7,122.2,120.0,31.1,2.2,Medium,Municipal Corporation Urban Infrastructure Phase 0266
PRJ0267,Urban Infrastructure,CPWD,13.65,18,2019-09-11,98.5,89.9,81.1,11.5,4.3,Medium,CPWD Urban Infrastructure Phase 0267
PRJ0268,Urban Infrastructure,Municipal Corporation,36.36,36,2022-12-28,134.2,98.6,94.1,17.2,14.2,Medium,Municipal Corporation Urban Infrastructure Phase 0268
PRJ0269,Railways,Indian Railways,21.79,12,2023-09-21,88.3,61.5,53.8,37.5,4.0,High,Indian Railways Railways Phase 0269
PRJ0270,Railways,CPWD,69.9,24,2021-02-18,34.8,23.2,19.9,25.4,6.5,Medium,CPWD Railways Phase 0270
PRJ0271,Urban Infrastructure,Municipal Corporation,9.41,24,2021-12-04,38.0,32.3,33.7,13.6,3.3,Medium,Municipal Corporation Urban Infrastructure Phase 0271
PRJ0272,Power,State PWD,28.81,60,2023-09-25,87.4,86.6,83.5,16.1,6.3,Medium,State PWD Power Phase 0272
PRJ0273,Urban Infrastructure,CPWD,252.58,18,2021-10-14,114.9,91.9,64.7,33.5,6.6,High,CPWD Urban Infrastructure Phase 0273
PRJ0274,Urban Infrastructure,Indian Railways,106.16,24,2022-12-25,57.9,40.4,34.0,35.6,4.1,Medium,Indian Railways Urban Infrastructure Phase 0274
PRJ0275,Roads & Highways,NTPC,260.23,60,2023-09-08,93.5,69.4,67.8,16.6,16.3,Medium,NTPC Roads & Highways Phase 0275
PRJ0276,Power,Indian Railways,9.61,36,2020-03-08,51.1,49.4,36.3,11.2,8.1,Medium,Indian Railways Power Phase 0276
PRJ0277,Roads & Highways,State PWD,34.89,60,2021-11-12,78.0,64.9,57.2,17.3,12.2,Medium,State PWD Roads & Highways Phase 0277
PRJ0278,Urban Infrastructure,Indian Railways,156.6,48,2021-01-25,115.8,91.6,80.0,24.1,15.1,Medium,Indian Railways Urban Infrastructure Phase 0278
PRJ0279,Roads & Highways,NTPC,34.02,36,2020-10-17,62.5,59.5,51.2,11.9,4.3,Low,NTPC Roads & Highways Phase 0279
PRJ0280,Urban Infrastructure,NTPC,207.41,24,2021-04-13,35.0,25.1,25.7,21.2,0.2,Low,NTPC Urban Infrastructure Phase 0280
PRJ0281,Roads & Highways,NHAI,26.71,24,2022-07-25,52.1,35.5,25.0,16.0,8.0,Medium,NHAI Roads & Highways Phase 0281
PRJ0282,Urban Infrastructure,Municipal Corporation,45.66,18,2022-08-10,100.5,77.0,74.4,21.7,5.4,Medium,Municipal Corporation Urban Infrastructure Phase 0282
PRJ0283,Irrigation,NHAI,21.34,12,2020-08-29,139.9,106.7,82.9,26.1,7.2,High,NHAI Irrigation Phase 0283
PRJ0284,Roads & Highways,NTPC,306.69,24,2022-09-18,32.3,22.8,20.1,21.0,1.6,Medium,NTPC Roads & Highways Phase 0284
PRJ0285,Roads & Highways,NHAI,9.51,36,2022-09-28,41.3,33.3,29.2,15.2,6.4,Medium,NHAI Roads & Highways Phase 0285
PRJ0286,Railways,NTPC,44.63,48,2019-08-08,43.8,41.1,33.8,19.6,9.2,Medium,NTPC Railways Phase 0286
PRJ0287,Urban Infrastructure,Municipal Corporation,122.87,24,2021-09-15,64.3,51.0,44.7,23.1,6.6,Medium,Municipal Corporation Urban Infrastructure Phase 0287
PRJ0288,Roads & Highways,NTPC,42.85,36,2019-08-12,117.7,99.6,99.2,14.2,6.0,Medium,NTPC Roads & Highways Phase 0288
PRJ0289,Irrigation,NTPC,76.48,24,2021-02-12,64.0,50.7,37.6,33.3,8.0,High,NTPC Irrigation Phase 0289
PRJ0290,Urban Infrastructure,Municipal Corporation,70.31,18,2023-04-18,104.0,95.5,75.3,24.2,8.3,High,Municipal Corporation Urban Infrastructure Phase 0290
PRJ0291,Power,NTPC,58.95,18,2020-07-06,68.8,58.4,47.7,18.3,4.0,Medium,NTPC Power Phase 0291
PRJ0292,Power,NHAI,295.04,18,2021-02-17,105.4,77.3,55.6,36.1,8.8,High,NHAI Power Phase 0292
PRJ0293,Irrigation,Municipal Corporation,186.63,18,2021-01-23,112.6,72.1,57.5,40.7,9.2,High,Municipal Corporation Irrigation Phase 0293
PRJ0294,Roads & Highways,Indian Railways,8.71,24,2023-10-25,41.3,33.9,35.3,3.0,2.9,Low,Indian Railways Roads & Highways Phase 0294
PRJ0295,Urban Infrastructure,NHAI,60.7,12,2021-12-25,86.8,77.8,71.7,7.8,5.1,Medium,NHAI Urban Infrastructure Phase 0295
PRJ0296,Railways,NTPC,93.52,24,2019-11-06,131.8,82.7,70.3,33.2,17.6,High,NTPC Railways Phase 0296
PRJ0297,Power,Indian Railways,202.13,36,2020-07-17,59.8,50.2,50.4,26.5,7.3,Medium,Indian Railways Power Phase 0297
PRJ0298,Power,CPWD,79.41,36,2020-11-03,35.6,30.3,25.3,19.5,7.8,Medium,CPWD Power Phase 0298
PRJ0299,Power,NHAI,120.86,36,2022-08-23,53.6,46.4,40.6,16.2,6.3,Medium,NHAI Power Phase 0299
PRJ0300,Urban Infrastructure,NTPC,198.06,12,2022-12-23,124.7,115.6,101.7,21.0,0.8,Medium,NTPC Urban Infrastructure Phase 0300
PRJ0301,Roads & Highways,Indian Railways,19.04,36,2023-01-13,35.5,34.2,24.3,14.4,3.8,Medium,Indian Railways Roads & Highways Phase 0301
PRJ0302,Railways,NHAI,6.92,36,2019-05-27,134.7,126.0,120.0,14.8,9.1,Medium,NHAI Railways Phase 0302
PRJ0303,Railways,CPWD,142.03,24,2019-05-04,70.8,68.6,62.0,27.5,2.1,Medium,CPWD Railways Phase 0303
PRJ0304,Urban Infrastructure,NHAI,74.69,48,2022-04-14,116.6,91.2,83.9,23.8,14.4,Medium,NHAI Urban Infrastructure Phase 0304
PRJ0305,Railways,Municipal Corporation,15.35,36,2021-01-24,85.0,77.7,70.7,22.5,9.3,Medium,Municipal Corporation Railways Phase 0305
PRJ0306,Irrigation,NTPC,12.87,24,2023-07-27,41.6,37.7,31.8,12.4,5.8,Medium,NTPC Irrigation Phase 0306
PRJ0307,Irrigation,State PWD,130.24,48,2022-05-18,42.1,30.2,24.4,24.7,12.3,Medium,State PWD Irrigation Phase 0307
PRJ0308,Roads & Highways,State PWD,8.8,36,2019-05-18,126.0,117.3,91.0,19.7,13.0,Medium,State PWD Roads & Highways Phase 0308
PRJ0309,Railways,NHAI,118.91,48,2019-07-04,73.2,60.1,52.7,25.6,14.5,Medium,NHAI Railways Phase 0309
PRJ0310,Railways,NHAI,38.67,18,2021-04-11,75.6,45.8,36.8,16.9,6.3,Medium,NHAI Railways Phase 0310
PRJ0311,Urban Infrastructure,State PWD,159.72,24,2019-10-18,39.2,23.8,18.1,23.1,5.3,Medium,State PWD Urban Infrastructure Phase 0311
PRJ0312,Railways,Municipal Corporation,87.14,24,2019-08-02,53.3,38.6,29.3,21.7,6.3,Medium,Municipal Corporation Railways Phase 0312
PRJ0313,Urban Infrastructure,NTPC,5.47,24,2021-08-31,106.6,93.9,71.4,26.0,4.5,Medium,NTPC Urban Infrastructure Phase 0313
PRJ0314,Roads & Highways,Indian Railways,54.8,12,2023-08-29,106.6,85.1,87.4,15.7,2.5,Medium,Indian Railways Roads & Highways Phase 0314
PRJ0315,Roads & Highways,State PWD,140.37,18,2021-07-03,76.1,46.2,45.2,17.4,5.4,Medium,State PWD Roads & Highways Phase 0315
PRJ0316,Irrigation,State PWD,23.54,18,2022-07-10,127.0,113.3,107.0,20.3,7.3,High,State PWD Irrigation Phase 0316
PRJ0317,Roads & Highways,NTPC,35.64,24,2021-07-08,120.3,91.6,79.7,15.5,9.1,Medium,NTPC Roads & Highways Phase 0317
PRJ0318,Roads & Highways,Indian Railways,43.89,60,2020-01-02,37.4,35.5,29.7,13.3,7.1,Medium,Indian Railways Roads & Highways Phase 0318
PRJ0319,Urban Infrastructure,Municipal Corporation,28.01,24,2022-12-17,77.7,77.6,69.5,13.7,1.6,Low,Municipal Corporation Urban Infrastructure Phase 0319
PRJ0320,Power,CPWD,25.6,24,2020-10-27,35.0,25.9,26.5,23.2,3.5,Medium,CPWD Power Phase 0320
PRJ0321,Roads & Highways,NHAI,73.36,12,2022-10-11,94.2,86.0,82.8,19.9,1.9,Medium,NHAI Roads & Highways Phase 0321
PRJ0322,Roads & Highways,NTPC,257.63,36,2022-01-21,111.6,74.6,57.3,28.2,18.4,High,NTPC Roads & Highways Phase 0322
PRJ0323,Roads & Highways,NTPC,274.77,48,2021-09-01,113.4,82.0,69.3,22.7,18.4,High,NTPC Roads & Highways Phase 0323
PRJ0324,Power,NHAI,285.99,18,2020-01-22,76.7,73.9,64.8,19.2,5.9,Medium,NHAI Power Phase 0324
PRJ0325,Railways,Indian Railways,49.91,24,2021-08-17,100.0,90.0,70.1,29.2,10.7,High,Indian Railways Railways Phase 0325
PRJ0326,Irrigation,Indian Railways,61.92,18,2022-03-24,120.6,75.4,73.3,28.3,10.8,High,Indian Railways Irrigation Phase 0326
PRJ0327,Urban Infrastructure,Indian Railways,19.21,24,2019-02-26,58.6,35.9,36.2,23.1,6.5,Medium,Indian Railways Urban Infrastructure Phase 0327
PRJ0328,Railways,CPWD,9.76,24,2019-12-28,86.6,77.4,66.0,20.0,7.4,Medium,CPWD Railways Phase 0328
PRJ0329,Power,NHAI,25.08,12,2023-12-04,65.9,59.3,58.2,18.1,0.5,Low,NHAI Power Phase 0329
PRJ0330,Urban Infrastructure,NTPC,41.74,24,2022-11-11,92.3,66.9,62.2,21.5,9.5,High,NTPC Urban Infrastructure Phase 0330
PRJ0331,Urban Infrastructure,NTPC,7.95,24,2019-05-05,100.2,89.5,83.8,6.6,5.2,Medium,NTPC Urban Infrastructure Phase 0331
PRJ0332,Power,NTPC,16.79,60,2020-09-07,88.0,60.3,63.2,24.7,19.6,Medium,NTPC Power Phase 0332
PRJ0333,Roads & Highways,CPWD,50.77,36,2022-05-04,71.0,69.4,52.6,10.4,10.3,Medium,CPWD Roads & Highways Phase 0333
PRJ0334,Roads & Highways,NHAI,54.82,12,2021-09-25,112.3,103.7,87.6,8.6,6.4,High,NHAI Roads & Highways Phase 0334
PRJ0335,Railways,Municipal Corporation,44.83,24,2022-05-19,130.1,111.3,115.1,16.3,6.2,Medium,Municipal Corporation Railways Phase 0335
PRJ0336,Roads & Highways,CPWD,158.53,36,2019-05-22,111.5,71.1,64.6,21.0,15.8,High,CPWD Roads & Highways Phase 0336
PRJ0337,Railways,CPWD,68.53,18,2022-05-28,95.6,76.6,79.8,27.0,3.0,Medium,CPWD Railways Phase 0337
PRJ0338,Roads & Highways,NTPC,281.81,18,2020-01-25,106.0,89.2,81.8,17.9,3.2,Medium,NTPC Roads & Highways Phase 0338
PRJ0339,Irrigation,Municipal Corporation,79.63,60,2019-06-03,72.4,45.5,35.2,28.4,24.3,High,Municipal Corporation Irrigation Phase 0339
PRJ0340,Railways,Municipal Corporation,9.94,24,2021-08-11,138.4,92.2,68.2,38.4,14.7,High,Municipal Corporation Railways Phase 0340
PRJ0341,Irrigation,CPWD,11.51,18,2023-10-22,48.7,46.7,45.4,10.6,1.8,Low,CPWD Irrigation Phase 0341
PRJ0342,Power,Municipal Corporation,40.19,36,2019-10-08,82.6,75.4,60.8,21.9,9.9,Medium,Municipal Corporation Power Phase 0342
PRJ0343,Roads & Highways,Indian Railways,14.81,36,2021-10-30,103.4,94.2,94.3,-1.1,5.2,Low,Indian Railways Roads & Highways Phase 0343
PRJ0344,Irrigation,NHAI,6.55,36,2023-08-20,31.7,25.7,22.2,22.2,9.7,Medium,NHAI Irrigation Phase 0344
PRJ0345,Power,Municipal Corporation,155.49,24,2020-08-13,79.9,72.3,53.8,22.8,7.9,Medium,Municipal Corporation Power Phase 0345
PRJ0346,Roads & Highways,Municipal Corporation,13.73,24,2022-03-06,55.3,45.4,37.7,8.2,5.3,Medium,Municipal Corporation Roads & Highways Phase 0346
PRJ0347,Urban Infrastructure,State PWD,20.1,18,2023-01-26,61.4,59.6,62.0,6.8,0.0,Low,State PWD Urban Infrastructure Phase 0347
PRJ0348,Power,Indian Railways,69.59,24,2019-06-06,91.2,85.6,83.8,20.9,2.5,Medium,Indian Railways Power Phase 0348
PRJ0349,Roads & Highways,CPWD,834.91,24,2022-09-15,98.6,82.8,59.5,44.1,6.9,High,CPWD Roads & Highways Phase 0349
PRJ0350,Urban Infrastructure,NHAI,27.97,24,2019-12-26,62.3,43.3,44.7,15.7,5.9,Medium,NHAI Urban Infrastructure Phase 0350
PRJ0351,Power,Indian Railways,87.58,12,2022-10-22,107.3,90.8,87.7,28.5,6.0,High,Indian Railways Power Phase 0351
PRJ0352,Irrigation,Indian Railways,62.27,24,2023-01-29,48.8,29.9,23.0,24.4,4.4,Medium,Indian Railways Irrigation Phase 0352
PRJ0353,Urban Infrastructure,NHAI,295.24,12,2022-02-01,60.6,57.1,58.5,15.6,0.0,Low,NHAI Urban Infrastructure Phase 0353
PRJ0354,Urban Infrastructure,NHAI,117.06,36,2023-07-05,50.8,49.2,46.4,7.2,4.5,Low,NHAI Urban Infrastructure Phase 0354
PRJ0355,Power,NTPC,447.49,18,2021-09-28,124.2,116.0,118.9,29.6,0.5,Medium,NTPC Power Phase 0355
PRJ0356,Irrigation,NTPC,17.06,24,2022-10-27,55.8,41.2,29.3,23.4,8.2,Medium,NTPC Irrigation Phase 0356
PRJ0357,Power,Municipal Corporation,354.05,18,2020-06-16,98.2,82.4,72.3,33.9,6.6,High,Municipal Corporation Power Phase 0357
PRJ0358,Urban Infrastructure,Indian Railways,41.69,24,2022-05-05,89.7,66.3,56.5,15.8,9.4,Medium,Indian Railways Urban Infrastructure Phase 0358
PRJ0359,Power,Municipal Corporation,22.15,48,2023-08-11,50.4,37.8,38.7,12.1,10.0,Medium,Municipal Corporation Power Phase 0359
PRJ0360,Irrigation,NHAI,15.45,60,2019-12-07,30.6,19.1,19.4,12.5,13.4,Medium,NHAI Irrigation Phase 0360
PRJ0361,Power,NTPC,26.74,60,2022-11-12,80.9,76.5,60.2,19.0,17.3,Medium,NTPC Power Phase 0361
PRJ0362,Railways,Municipal Corporation,88.91,36,2020-06-15,62.9,40.4,34.5,27.6,12.8,High,Municipal Corporation Railways Phase 0362
PRJ0363,Irrigation,NHAI,70.05,18,2021-05-24,42.9,37.4,38.6,19.7,3.2,Medium,NHAI Irrigation Phase 0363
PRJ0364,Roads & Highways,State PWD,26.88,24,2020-12-03,69.1,42.7,33.1,17.7,7.9,Medium,State PWD Roads & Highways Phase 0364
PRJ0365,Irrigation,Municipal Corporation,58.76,36,2021-01-09,91.7,89.6,65.3,29.2,12.8,High,Municipal Corporation Irrigation Phase 0365
PRJ0366,Railways,State PWD,24.85,12,2020-10-12,40.1,33.5,26.1,23.0,3.3,Medium,State PWD Railways Phase 0366
PRJ0367,Urban Infrastructure,NTPC,86.98,12,2019-11-07,92.5,66.4,68.3,28.2,0.3,Medium,NTPC Urban Infrastructure Phase 0367
PRJ0368,Urban Infrastructure,NHAI,21.19,36,2021-04-04,54.9,46.4,36.6,5.7,9.3,Medium,NHAI Urban Infrastructure Phase 0368
PRJ0369,Irrigation,NHAI,31.91,12,2021-09-30,47.2,44.0,36.4,21.4,2.6,Medium,NHAI Irrigation Phase 0369
PRJ0370,Irrigation,CPWD,136.87,36,2022-11-07,60.3,41.1,29.0,23.9,13.4,High,CPWD Irrigation Phase 0370
PRJ0371,Roads & Highways,Indian Railways,53.01,24,2019-10-18,102.2,101.0,90.6,9.4,3.1,Low,Indian Railways Roads & Highways Phase 0371
PRJ0372,Urban Infrastructure,NTPC,65.86,36,2019-03-21,106.3,91.3,71.3,22.1,12.8,Medium,NTPC Urban Infrastructure Phase 0372
PRJ0373,Urban Infrastructure,State PWD,148.97,60,2021-03-10,112.5,91.4,81.2,20.1,17.9,Medium,State PWD Urban Infrastructure Phase 0373
PRJ0374,Urban Infrastructure,NTPC,25.05,12,2023-06-22,47.2,32.5,28.6,12.4,3.0,Medium,NTPC Urban Infrastructure Phase 0374
PRJ0375,Power,NHAI,145.98,12,2021-04-16,71.8,52.1,41.7,22.9,3.7,Medium,NHAI Power Phase 0375
PRJ0376,Railways,State PWD,28.22,36,2020-12-17,78.8,75.5,70.2,18.7,6.6,Medium,State PWD Railways Phase 0376
